vGBP Period,vGBL Version,vCST Activity,vCST Activity Dest,vCST Activity to Activity Config Measure,vAmount
2026-08,Budget,A01,Input,Driver Description,Patient Admission
2026-08,Budget,A01,Input,Redistribution Percentage,20
2026-08,Budget,A03,A01,Driver Value,35
2026-08,Budget,A03,A07,Driver Value,65
2026-08,Budget,A03,Input,Driver Description,Clinical Procedure
2026-08,Budget,A03,Input,Redistribution Percentage,25
2026-08,Budget,A04,A01,Driver Value,50
2026-08,Budget,A04,A03,Driver Value,50
2026-08,Budget,A04,Input,Driver Description,Patient Monitoring
2026-08,Budget,A04,Input,Redistribution Percentage,15
2026-08,Budget,A07,A09,Driver Value,100
2026-08,Budget,A07,Input,Driver Description,Intermediate Allocation
2026-08,Budget,A07,Input,Redistribution Percentage,25
2026-09,Budget,A01,A03,Driver Value,60
2026-09,Budget,A01,A04,Driver Value,40
2026-09,Budget,A01,Input,Driver Description,Patient Admission
2026-09,Budget,A01,Input,Redistribution Percentage,20
2026-09,Budget,A03,A01,Driver Value,35
2026-09,Budget,A03,A07,Driver Value,65
2026-09,Budget,A03,Input,Driver Description,Clinical Procedure
2026-09,Budget,A03,Input,Redistribution Percentage,25
2026-09,Budget,A04,A01,Driver Value,50
2026-09,Budget,A04,A03,Driver Value,50
2026-09,Budget,A04,Input,Driver Description,Patient Monitoring
2026-09,Budget,A04,Input,Redistribution Percentage,15
2026-09,Budget,A07,A09,Driver Value,100
2026-09,Budget,A07,Input,Driver Description,Intermediate Allocation
2026-09,Budget,A07,Input,Redistribution Percentage,25
2026-10,Budget,A01,A03,Driver Value,60
2026-10,Budget,A01,A04,Driver Value,40
2026-10,Budget,A01,Input,Driver Description,Patient Admission
2026-10,Budget,A01,Input,Redistribution Percentage,20
2026-10,Budget,A03,A01,Driver Value,35
2026-10,Budget,A03,A07,Driver Value,65
2026-10,Budget,A03,Input,Driver Description,Clinical Procedure
2026-10,Budget,A03,Input,Redistribution Percentage,25
2026-10,Budget,A04,A01,Driver Value,50
2026-10,Budget,A04,A03,Driver Value,50
2026-10,Budget,A04,Input,Driver Description,Patient Monitoring
2026-10,Budget,A04,Input,Redistribution Percentage,15
2026-10,Budget,A07,A09,Driver Value,100
2026-10,Budget,A07,Input,Driver Description,Intermediate Allocation
2026-10,Budget,A07,Input,Redistribution Percentage,25
2026-11,Budget,A01,A03,Driver Value,60
2026-11,Budget,A01,A04,Driver Value,40
2026-11,Budget,A01,Input,Driver Description,Patient Admission
2026-11,Budget,A01,Input,Redistribution Percentage,20
2026-11,Budget,A03,A01,Driver Value,35
2026-11,Budget,A03,A07,Driver Value,65
2026-11,Budget,A03,Input,Driver Description,Clinical Procedure
2026-11,Budget,A03,Input,Redistribution Percentage,25
2026-11,Budget,A04,A01,Driver Value,50
2026-11,Budget,A04,A03,Driver Value,50
2026-11,Budget,A04,Input,Driver Description,Patient Monitoring
2026-11,Budget,A04,Input,Redistribution Percentage,15
2026-11,Budget,A07,A09,Driver Value,100
2026-11,Budget,A07,Input,Driver Description,Intermediate Allocation
2026-11,Budget,A07,Input,Redistribution Percentage,25
2026-12,Budget,A01,A03,Driver Value,60
2026-12,Budget,A01,A04,Driver Value,40
2026-12,Budget,A01,Input,Driver Description,Patient Admission
2026-12,Budget,A01,Input,Redistribution Percentage,20
2026-12,Budget,A03,A01,Driver Value,35
2026-12,Budget,A03,A07,Driver Value,65
2026-12,Budget,A03,Input,Driver Description,Clinical Procedure
2026-12,Budget,A03,Input,Redistribution Percentage,25
2026-12,Budget,A04,A01,Driver Value,50
2026-12,Budget,A04,A03,Driver Value,50
2026-12,Budget,A04,Input,Driver Description,Patient Monitoring
2026-12,Budget,A04,Input,Redistribution Percentage,15
2026-12,Budget,A07,A09,Driver Value,100
2026-12,Budget,A07,Input,Driver Description,Intermediate Allocation
2026-12,Budget,A07,Input,Redistribution Percentage,25
2027-01,Budget,A01,A03,Driver Value,60
2027-01,Budget,A01,A04,Driver Value,40
2027-01,Budget,A01,Input,Driver Description,Patient Admission
2027-01,Budget,A01,Input,Redistribution Percentage,20
2027-01,Budget,A03,A01,Driver Value,35
2027-01,Budget,A03,A07,Driver Value,65
2027-01,Budget,A03,Input,Driver Description,Clinical Procedure
2027-01,Budget,A03,Input,Redistribution Percentage,25
2027-01,Budget,A04,A01,Driver Value,50
2027-01,Budget,A04,A03,Driver Value,50
2027-01,Budget,A04,Input,Driver Description,Patient Monitoring
2027-01,Budget,A04,Input,Redistribution Percentage,15
2027-01,Budget,A07,A09,Driver Value,100
2027-01,Budget,A07,Input,Driver Description,Intermediate Allocation
2027-01,Budget,A07,Input,Redistribution Percentage,25
2027-02,Budget,A01,A03,Driver Value,60
2027-02,Budget,A01,A04,Driver Value,40
2027-02,Budget,A01,Input,Driver Description,Patient Admission
2027-02,Budget,A01,Input,Redistribution Percentage,20
2027-02,Budget,A03,A01,Driver Value,35
2027-02,Budget,A03,A07,Driver Value,65
2027-02,Budget,A03,Input,Driver Description,Clinical Procedure
2027-02,Budget,A03,Input,Redistribution Percentage,25
2027-02,Budget,A04,A01,Driver Value,50
2027-02,Budget,A04,A03,Driver Value,50
2027-02,Budget,A04,Input,Driver Description,Patient Monitoring
2027-02,Budget,A04,Input,Redistribution Percentage,15
2027-02,Budget,A07,A09,Driver Value,100
2027-02,Budget,A07,Input,Driver Description,Intermediate Allocation
2027-02,Budget,A07,Input,Redistribution Percentage,25
2027-03,Budget,A01,A03,Driver Value,60
2027-03,Budget,A01,A04,Driver Value,40
2027-03,Budget,A01,Input,Driver Description,Patient Admission
2027-03,Budget,A01,Input,Redistribution Percentage,20
2027-03,Budget,A03,A01,Driver Value,35
2027-03,Budget,A03,A07,Driver Value,65
2027-03,Budget,A03,Input,Driver Description,Clinical Procedure
2027-03,Budget,A03,Input,Redistribution Percentage,25
2027-03,Budget,A04,A01,Driver Value,50
2027-03,Budget,A04,A03,Driver Value,50
2027-03,Budget,A04,Input,Driver Description,Patient Monitoring
2027-03,Budget,A04,Input,Redistribution Percentage,15
2027-03,Budget,A07,A09,Driver Value,100
2027-03,Budget,A07,Input,Driver Description,Intermediate Allocation
2027-03,Budget,A07,Input,Redistribution Percentage,25
